Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,33,15.3,0,0,0,0
,,33,16.1,0,0,0,0
,,33,16.9,0,0,0,0
,,33,17.7,0,0,0,0
,,33,18.5,0,0,0,0
,,28,75.18,0,0,0,0
,,28,75.98,0,0,0,0
,,28,76.78,0,0,0,0
,,28,77.58,0,0,0,0
,,28,78.38,0,0,0,0
,,28,79.18,0,0,0,0
,,28,79.98,0,0,0,0
,,28,80.78,0,0,0,0
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,21,16.44,0,0,0,0
,,21,17.24,0,0,0,0
,,21,18.04,0,0,0,0
,,21,18.84,0,0,0,0
,,21,19.64,0,0,0,0
,,21,20.44,0,0,0,0
,,21,21.24,0,0,0,0
,,21,22.04,0,0,0,0
,,21,22.84,0,0,0,0
,,21,23.64,0,0,0,0
,,21,24.44,0,0,0,0
,,21,25.24,0,0,0,0
,,21,26.04,0,0,0,0
,,21,26.84,0,0,0,0
,,21,27.64,0,0,0,0
,,21,28.44,0,0,0,0
,,21,29.24,0,0,0,0
,,21,30.04,0,0,0,0
,,21,30.84,0,0,0,0
,,21,31.64,0,0,0,0
,,21,32.44,0,0,0,0
,,21,33.24,0,0,0,0
,,21,34.04,0,0,0,0
,,21,34.84,0,0,0,0
,,21,35.64,0,0,0,0
,,21,36.44,0,0,0,0
,,21,37.24,0,0,0,0
,,21,38.04,0,0,0,0
,,21,38.84,0,0,0,0
,,21,39.64,0,0,0,0
,,21,40.44,0,0,0,0
,,21,41.24,0,0,0,0
,,21,42.04,0,0,0,0
,,21,42.84,0,0,0,0
,,21,43.64,0,0,0,0
,,21,44.44,0,0,0,0
,,21,45.24,0,0,0,0
,,21,46.04,0,0,0,0
,,21,46.84,0,0,0,0
,,21,47.64,0,0,0,0
,,21,48.44,0,0,0,0
,,21,49.24,0,0,0,0
,,21,50.04,0,0,0,0
,,21,50.84,0,0,0,0
,,21,51.64,0,0,0,0
,,21,52.44,0,0,0,0
,,21,53.24,0,0,0,0
,,21,54.04,0,0,0,0
,,21,54.84,0,0,0,0
,,21,55.64,0,0,0,0
,,21,56.44,0,0,0,0
,,21,57.24,0,0,0,0
,,21,58.04,0,0,0,0
,,21,58.84,0,0,0,0
,,21,59.64,0,0,0,0
,,21,60.44,0,0,0,0
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,12,15.92,0,0,0,0
,,12,16.72,0,0,0,0
,,12,17.52,0,0,0,0
,,12,18.32,0,0,0,0
,,12,19.12,0,0,0,0
,,12,19.92,0,0,0,0
,,12,20.72,0,0,0,0
,,12,21.52,0,0,0,0
,,12,22.32,0,0,0,0
,,12,23.12,0,0,0,0
,,12,23.92,0,0,0,0
,,12,24.72,0,0,0,0
,,12,25.52,0,0,0,0
,,12,26.32,0,0,0,0
,,12,27.12,0,0,0,0
,,12,27.92,0,0,0,0
,,12,28.72,0,0,0,0
,,12,29.52,0,0,0,0
,,12,30.32,0,0,0,0
,,12,31.12,0,0,0,0
,,12,31.92,0,0,0,0
,,12,32.72,0,0,0,0
,,12,33.52,0,0,0,0
,,12,34.32,0,0,0,0
,,12,35.12,0,0,0,0
,,12,35.92,0,0,0,0
,,12,36.72,0,0,0,0
,,12,37.52,0,0,0,0
,,12,38.32,0,0,0,0
,,12,39.12,0,0,0,0
,,12,39.92,0,0,0,0
,,12,40.72,0,0,0,0
,,12,41.52,0,0,0,0
,,12,42.32,0,0,0,0
,,12,43.12,0,0,0,0
,,12,43.92,0,0,0,0
,,12,44.72,0,0,0,0
,,12,45.52,0,0,0,0
,,12,46.32,0,0,0,0
,,12,47.12,0,0,0,0
,,12,47.92,0,0,0,0
,,12,48.72,0,0,0,0
,,12,49.52,0,0,0,0
,,12,50.32,0,0,0,0
,,12,51.12,0,0,0,0
,,12,51.92,0,0,0,0
,,12,52.72,0,0,0,0
,,12,53.52,0,0,0,0
,,12,54.32,0,0,0,0
,,12,55.12,0,0,0,0
,,12,55.92,0,0,0,0
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,0,10.9,0,0,0,0
,,0,11.7,0,0,0,0
,,0,12.5,0,0,0,0
,,0,13.3,0,0,0,0
,,0,14.1,0,0,0,0
,,0,14.9,0,0,0,0
,,0,15.7,0,0,0,0
,,0,16.5,0,0,0,0
,,0,17.3,0,0,0,0
,,0,18.1,0,0,0,0
,,0,18.9,0,0,0,0
,,0,19.7,0,0,0,0
,,0,20.5,0,0,0,0
,,0,21.3,0,0,0,0
,,0,22.1,0,0,0,0
,,0,22.9,0,0,0,0
,,0,23.7,0,0,0,0
,,0,24.5,0,0,0,0
,,0,25.3,0,0,0,0
,,0,26.1,0,0,0,0
,,0,26.9,0,0,0,0
,,0,27.7,0,0,0,0
,,0,28.5,0,0,0,0
,,0,29.3,0,0,0,0
,,0,30.1,0,0,0,0
,,0,30.9,0,0,0,0
,,0,31.7,0,0,0,0
,,0,32.5,0,0,0,0
,,0,33.3,0,0,0,0
,,0,34.1,0,0,0,0
,,0,34.9,0,0,0,0
,,0,35.7,0,0,0,0
,,0,36.5,0,0,0,0
,,0,37.3,0,0,0,0
,,0,38.1,0,0,0,0
,,0,38.9,0,0,0,0
,,0,39.7,0,-0.02,0,0
,,0,40.5,0,-0.02,0,0
,,0,41.3,0,-0.02,0,0
,,0,42.1,0,-0.02,0,0
,,0,42.9,0,-0.02,0,0
,,0,43.7,0,-0.02,0,0
,,0,44.5,0,-0.02,0,0
,,0,45.3,0,-0.02,0,0
,,0,46.1,0,-0.02,0,0
,,0,46.9,0,-0.02,0,0
,,0,47.7,0,-0.02,0,0
,,0,48.5,0,-0.02,0,0
,,0,49.3,0,-0.02,0,0
,,0,50.1,0,-0.02,0,0
,,0,50.9,0,-0.02,0,0
,,0,51.7,0,-0.02,0,0
,,0,52.5,0,-0.02,0,0
,,0,53.3,0,-0.02,0,0
,,0,54.1,0,-0.02,0,0
,,0,54.9,0,-0.02,0,0
,,0,55.7,0,-0.02,0,0
,,0,56.5,0,-0.02,0,0
,,0,57.3,0,-0.02,0,0
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,0,9.559999,0,0,0,0
,,0,10.36,0,0,0,0
,,0,11.16,0,0,0,0
,,0,11.96,0,0,0,0
,,0,12.76,0,0,0,0
,,0,13.56,0,0,0,0
,,0,14.36,0,0,0,0
,,0,15.16,0,0,0,0
,,0,15.96,0,0,0,0
,,0,16.76,0,0,0,0
,,0,17.56,0,0,0,0
,,0,18.36,0,0,0,0
,,0,19.16,0,0,0,0
,,0,19.96,0,0,0,0
,,0,20.76,0,0,0,0
,,0,21.56,0,0,0,0
,,0,22.36,0,0,0,0
,,0,23.16,0,0,0,0
,,0,23.96,0,0,0,0
,,0,24.76,0,0,0,0
,,0,25.56,0,0,0,0
,,0,26.36,0,0,0,0
,,0,27.16,0,0,0,0
,,0,27.96,0,0,0,0
,,0,28.76,0,0,0,0
,,0,29.56,0,0,0,0
,,0,30.36,0,0,0,0
,,0,31.16,0,0,0,0
,,0,31.96,0,0,0,0
,,0,32.76,0,0,0,0
,,0,33.56,0,0,0,0
,,0,34.36,0,0,0,0
,,0,35.16,0,0,0,0
,,0,35.96,0,0,0,0
,,0,36.76,0,0,0,0
,,0,37.56,0,0,0,0
,,0,38.36,0,0,0,0
,,0,39.16,0,0,0,0
,,0,39.96,0,0,0,0
,,0,40.76,0,0,0,0
,,0,41.56,0,0,0,0
,,0,42.36,0,0,0,0
,,0,43.16,0,0,0,0
,,0,43.96,0,0,0,0
,,0,44.76,0,0,0,0
,,0,45.56,0,0,0,0
,,0,46.36,0,0,0,0
,,0,47.16,0,0,0,0
,,0,47.96,0,0,0,0
,,0,48.76,0,0,0,0
,,0,49.56,0,0,0,0
,,0,50.36,0,0,0,0
,,0,51.16,0,0,0,0
,,0,51.96,0,0,0,0
,,0,52.76,0,0,0,0
,,0,53.56,0,0,0,0
,,0,54.36,0,0,0,0
,,0,55.16,0,0,0,0
,,0,55.96,0,0,0,0
,,0,56.76,0,0,0,0
,,0,57.56,0,0,0,0
,,0,58.36,0,0,0,0
,,0,59.16,0,0,0,0
,,0,59.96,0,0,0,0
,,0,60.76,0,0,0,0
,,0,61.56,0,0,0,0
,,0,62.36,0,0,0,0
,,0,63.16,0,0,0,0
,,0,63.96,0,0,0,0
,,0,64.76,0,0,0,0
,,0,65.56,0,0,0,0
,,0,66.36,0,0,0,0
,,0,67.16,0,0,0,0
,,0,67.96,0,0,0,0
,,0,68.76,0,0,0,0
,,0,69.56,0,0,0,0
,,0,70.36,0,0,0,0
,,0,71.16,0,0,0,0
,,0,71.96,0,0,0,0
,,0,72.76,0,0,0,0
,,0,73.56,0,0,0,0
,,0,74.36,0,0,0,0
,,0,75.16,0,0,0,0
,,0,75.96,0,0,0,0
,,0,76.75999,0,0,0,0
,,0,77.56,0,0,0,0
,,0,78.36,0,0,0,0
,,0,79.16,0,0,0,0
,,0,79.96,0,0,0,0
,,0,80.75999,0,0,0,0
,,0,81.56,0,0,0,0
,,0,82.36,0,0,0,0
,,0,83.16,0,0,0,0
,,0,83.96,0,0,0,0
,,0,84.75999,0,0,0,0
,,0,85.56,0,0,0,0
